Sentence,Source,SourceType
"Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report, which was in general circulation within five minutes after his entrance, of his having ten thousand a year.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Bennet protested against any description of finery.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The coach, therefore, took them the first stage of their journey, and brought its master back to Longbourn.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy, and all that he had suffered from him, was now openly acknowledged and publicly canvassed; and everybody was pleased to think how much they had always disliked Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Everybody declared that he was the wickedest young man in the world; and everybody began to find out that they had always distrusted the appearance of his goodness.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Engaged to Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Here, leading the way through every walk and cross walk, and scarcely allowing them an interval to utter the praises he asked for, every view was pointed out with a minuteness which left beauty entirely behind.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"A deeper shade of _hauteur_ overspread his features, but he said not a word; and Elizabeth, though blaming herself for her own weakness, could not go on.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The agitation and tears which the subject occasioned brought on a headache; and it grew so much worse towards the evening that, added to her unwillingness to see Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He then handed her in, Maria followed, and the door was on the point of being closed, when he suddenly reminded them, with some consternation, that they had hitherto forgotten to leave any message for the ladies of Rosings.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"We all know him to be a proud, unpleasant sort of man; but this would be nothing if you really liked him. I do, I do like him, she replied, with tears in her eyes; I love him.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"She stood several minutes before the picture, in earnest contemplation, and returned to it again before they quitted the gallery.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet indeed said little; but the ladies were ready enough to talk, and Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Wickham among the cluster of red coats there assembled, a doubt of his being present had never occurred to her.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
He declared himself to have been totally unsuspicious of her sister s attachment; and she could not help remembering what Charlotte s opinion had always been.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, he offered himself as his antagonist at backgammon.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Elizabeth, after slightly surveying it, went to a window to enjoy its prospect.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, that you should be so ready to think your own children silly.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet: she would have been glad to be equally satisfied that her daughter had meant to encourage him by protesting against his proposals, but she dared not believe it, and could not help saying so.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
We know how little there is to tempt anyone to our humble abode.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Unless the elder brother is very sickly, I suppose you would not ask above fifty thousand pounds. He answered her in the same style, and the subject dropped.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, as she stood at a window the next morning, if that disagreeable Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I came to you without a doubt of my reception.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Perhaps other people have said so before, but no one with such justice.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy, who took her so much by surprise in his application for her hand, that, without knowing what she did, she accepted him.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
He was on one side of her mother.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Your sisters are engaged, and there is not another woman in the room whom it would not be a punishment to me to stand up with. I would not be so fastidious as you are, cried Bingley, for a kingdom!",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Well, my comfort is, I am sure Jane will die of a broken heart, and then he will be sorry for what he has done. But as Elizabeth could not receive comfort from any such expectation she made no answer.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"With amazement did she first understand that he believed any apology to be in his power; and steadfastly was she persuaded, that he could have no explanation to give, which a just sense of shame would not conceal.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I will read it to you.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes. I see no occasion for that.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy and their niece, directed their observation towards each with an earnest, though guarded, inquiry; and they soon drew from those inquiries the full conviction that one of them at least knew what it was to love.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bingley she had likewise seen for an instant, and in that short period saw him looking both pleased and embarrassed.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"My good opinion once lost is lost for ever. _That_ is a failing, indeed! cried Elizabeth.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I am sure Lizzy will be very happy--I am sure she can have no objection.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
John told us Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"It was owing to him, to his reserve and want of proper consideration, that Wickham s character had been so misunderstood, and consequently that he had been received and noticed as he was.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins allowed him to speak, replied with an air of distant civility.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"You may, in fact, carry a very favourable report of us into Hertfordshire, my dear cousin.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He still loves me, and we are engaged. Jane looked at her doubtingly.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Elizabeth, who was left by herself, now smiled at the rapidity and ease with which an affair was finally settled, that had given them so many previous months of suspense and vexation.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
We must not make him desperate. The tumult of Elizabeth s mind was allayed by this conversation.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
My feelings in every respect forbid it.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"He merely added, that he should not write again, till he had something of importance to mention. And my mother--how is she?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
That _she_ could be in any danger from the deception never entered my head.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"My faults, according to this calculation, are heavy indeed!",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"In a short time, I shall have a daughter married.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"You forced me into visiting him last year, and promised, if I went to see him, he should marry one of my daughters.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I found, said he, as the time drew near, that I had better not meet Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Well, much good may it do them!",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Where is your sister? said he hastily, as he opened the door.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
She dared not even mention that gentleman.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I described and enforced them earnestly.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
How are they even to be discovered?,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Calling back the servant, therefore, she commissioned him, though in so breathless an accent as made her almost unintelligible, to fetch his master and mistress home instantly.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Well, girls, said she, as soon as they were left to themselves, what say you to the day?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"But here she did injustice to the fire and independence of his character; for it led him to escape out of Longbourn House the next morning with admirable slyness, and hasten to Lucas Lodge to throw himself at her feet.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Of what are you talking? Of Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The form of passion common and likely to seem natural in Miss Austen s day was so invariably connected with the display of one or the other, or both of these qualities, that she has not made Elizabeth outwardly passionate.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Oh, Lord! what will become of me?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Come, let me see the list of the pitiful fellows who have been kept aloof by Lydia s folly. Indeed, you are mistaken.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, you will wait on him, of course. No, no.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,http://quotes.toscrape.com/page/7/,quote
[Illustration] CHAPTER XXV.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"To be sure, it would have been more for the advantage of conversation, had Miss Lydia Bennet come upon the town; or, as the happiest alternative, been secluded from the world in some distant farm-house.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
How much sooner one tires of anything than of a book!,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
It was agreed to.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The recollection of what I then said, of my conduct, my manners, my expressions during the whole of it, is now, and has been many months, inexpressibly painful to me.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy s pleasure, in the Bingleys invitation to the officers; and though this was not exactly the case, the absolute fact of his absence was pronounced by his friend Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"After breakfast, the girls walked to Meryton, to inquire if Mr.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
A thousand things may arise in six months. The idea of his returning no more Elizabeth treated with the utmost contempt.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy, she saw, on looking up, that Colonel Fitzwilliam was meeting her.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
It was Mr.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
His regard for her was quite imaginary; and the possibility of her deserving her mother s reproach prevented his feeling any regret.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",http://quotes.toscrape.com/page/3/,quote
[Illustration: His parting obeisance ] CHAPTER XXXVII.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The party seemed so well selected, so suitable one with the other.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins might never make the offer, and, till he did, it was useless to quarrel about him.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bingley s large fortune, the mention of which gave animation to their mother, was worthless in their eyes when opposed to the regimentals of an ensign.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
It seems a hopeless business. Speak to Lizzy about it yourself.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Collins has yet expressed her sense of your kindness in coming to us; but I am very certain you will not leave the house without receiving her thanks for it.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Your sweetness and disinterestedness are really angelic; I do not know what to say to you.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins, all praise of me will be unnecessary.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy, as well as Elizabeth, really loved them; and they were both ever sensible of the warmest gratitude towards the persons who, by bringing her into Derbyshire, had been the means of uniting them.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bingley, his two sisters, the husband of the eldest, and another young man.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Jane now came up.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"But from the severity of that blame which was last night so liberally bestowed, respecting each circumstance, I shall hope to be in future secured, when the following account of my actions and their motives has been read.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"I often tell young ladies, that no excellence in music is to be acquired without constant practice.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"And pray may I ask-- but checking himself, he added, in a gayer tone, Is it in address that he improves?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Collins, whose inquiries after herself and all her family were very minute, and then by a little curiosity, satisfied herself with walking to the window and pretending not to hear.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
“′Classic′ - a book which people praise and don't read.”,http://quotes.toscrape.com/page/8/,quote
Collins on his return highly gratified Mrs.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Having said thus much, I feel no doubt of your secrecy.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"If he fears me, why come hither?",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Darcy, who, though extremely surprised, was not unwilling to receive it, when she instantly drew back, and said with some discomposure to Sir William,-- Indeed, sir, I have not the least intention of dancing.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
I believe I have now told you everything.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"Bennet, looking as unconcerned as may be, and caring no more for us than if we were at York, provided she can have her own way.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
"The turn of your countenance I shall never forget, as you said that I could not have addressed you in any possible way that would induce you to accept me. Oh, do not repeat what I then said.",https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
Why did the Forsters ever let her go out of their sight?,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
It must make you better satisfied that your other four are single. It is no such thing.,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,gutenberg
